antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'SVG', 'IRA'})",frozenset({'CKING'}),0.06394694030784633,0.8578400700788387,0.05956701288950069,0.9315068493150686,1.0858747239790973,0.004710765134490487,2.075534976848957
"frozenset({'CKING', 'IRA'})",frozenset({'SVG'}),0.08822425228381929,0.6186960330371668,0.05956701288950069,0.6751773049645391,1.091290826046042,0.004983017983831495,1.1738833917414737
frozenset({'SVG'}),"frozenset({'CKING', 'IRA'})",0.6186960330371668,0.08822425228381929,0.05956701288950069,0.09627831715210357,1.091290826046042,0.004983017983831495,1.0089121075892564
frozenset({'CKING'}),"frozenset({'SVG', 'IRA'})",0.8578400700788387,0.06394694030784633,0.05956701288950069,0.06943836615609045,1.0858747239790973,0.004710765134490487,1.0059011952013974
frozenset({'IRA'}),"frozenset({'SVG', 'CKING'})",0.10837191840820924,0.5417344512576648,0.05956701288950069,0.5496535796766744,1.0146181000684467,0.0008582111388890298,1.017584526181698
"frozenset({'SVG', 'MMDA'})",frozenset({'CKING'}),0.07733700412964585,0.8578400700788387,0.07358278062820674,0.9514563106796117,1.1091301792327903,0.0072399995859439015,2.9284945563759246
frozenset({'CKING'}),"frozenset({'SVG', 'MMDA'})",0.8578400700788387,0.07733700412964585,0.07358278062820674,0.08577680525164115,1.1091301792327903,0.0072399995859439015,1.0092316637452174
"frozenset({'SVG', 'ATM', 'CD'})",frozenset({'CKING'}),0.05381053685396071,0.8578400700788387,0.052559129020147664,0.9767441860465116,1.1386087222024324,0.006398294314366081,6.112876986609926
"frozenset({'CKING', 'ATM', 'CD'})",frozenset({'SVG'}),0.07007883869353022,0.6186960330371668,0.052559129020147664,0.75,1.2122269417475728,0.009201629520609003,1.5252158678513328
"frozenset({'SVG', 'CKING'})","frozenset({'ATM', 'CD'})",0.5417344512576648,0.07158052809410587,0.052559129020147664,0.09702009702009702,1.3553978938594324,0.01378149091235336,1.0281729071068344
"frozenset({'ATM', 'CD'})","frozenset({'SVG', 'CKING'})",0.07158052809410587,0.5417344512576648,0.052559129020147664,0.7342657342657343,1.3553978938594324,0.01378149091235336,1.7245256176356296
frozenset({'SVG'}),"frozenset({'CKING', 'ATM', 'CD'})",0.6186960330371668,0.07007883869353022,0.052559129020147664,0.08495145631067962,1.2122269417475728,0.009201629520609003,1.0162533646107839
frozenset({'CKING'}),"frozenset({'SVG', 'ATM', 'CD'})",0.8578400700788387,0.05381053685396071,0.052559129020147664,0.061269146608315096,1.1386087222024324,0.006398294314366081,1.0079454187826105
"frozenset({'SVG', 'CKING', 'HMEQLC'})",frozenset({'ATM'}),0.11150043799274184,0.3845576273307471,0.06094356150669503,0.5465768799102132,1.4213133248820415,0.018065217625867137,1.3573246387334263
